step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.19908652817891115,0.164920989717353,8.486039110245908,0.05311978044936025,0.22117981304210105,3.92,0.75,1.4647077105259776,2.65461258019344,0,49.99999999999996,335.29433571802014,0
100,1.9999999999999793,-0.12267039395370857,0.16959833882514752,0.1951356372490966,0.05534937525223462,0.31604103297555175,3.92,0.9166666666666666,1.3894918953287543,3.5664640789816646,0,50.00000000000051,534.8223271075417,0
150,2.9999999999999583,-0.25401346960158194,0.16483420169912985,-8.65366220563682,0.037582068581031504,0.07872095957430147,3.92,0.9166666666666666,1.4769470539959233,2.7481468248245666,0,50.000000000000696,667.4635943458667,0
200,3.999999999999937,-0.066835237134036,0.1774283162536701,16.02111038438073,0.04203204445373269,0.09922023910780639,3.92,0.9166666666666666,1.4737304484301776,3.762358264683318,0,50.00000000000079,762.6323829350805,0
250,4.999999999999916,-0.23636987753559185,0.15755710559770497,6.927351937866361,0.0502831867890788,0.108049948712649,3.92,1.0,1.4716631643474103,5.0,1,50.000000000001066,1322.1438185780148,1
300,5.999999999999894,0.3101496537537872,0.19359910529432556,-0.7641895837172111,0.06667346179503993,0.1639973513916798,3.92,1.0,1.5034883193671704,5.0,1,50.000000000001066,1322.1073200715268,1
350,6.999999999999873,0.38554914089037295,0.1588444463635841,4.782862002903657,0.04819906614251002,0.2743902363073069,3.92,0.8333333333333334,1.4574494214355946,5.0,1,50.000000000001066,1326.1343336373366,1
400,7.999999999999852,0.057599980561908876,0.17312260868256668,-1.4588900699585174,0.060122166912745335,0.20255868593751714,3.92,1.0,1.4732303167879581,3.9798319575259002,0,50.000000000001066,1322.4341395062925,1
450,9.000000000000007,0.04507093183195882,0.20638836954996612,7.153016291039724,0.03627575870839405,0.13723293292269279,3.92,0.9166666666666666,1.4899127903580665,5.0,1,49.999999999998856,1326.451394044302,2
500,10.000000000000163,-0.08559790287530843,0.15476097338704367,6.978071520388649,0.03725529056475698,0.13312786941173393,3.92,0.9166666666666666,1.4724871100485324,3.206435023828749,0,49.99999999999663,1326.3533283461607,2
550,11.00000000000032,0.32016556719111905,0.16010430961335984,-2.756095868974908,0.05725778020357203,0.1389139840312148,3.92,0.8333333333333334,1.4617917416989803,3.398536522259849,0,49.999999999994415,1293.2829221713157,2
600,12.000000000000476,0.21024973936098515,0.15338335574002734,3.94264999983652,0.05452045038423819,0.12387079469062323,3.92,0.9166666666666666,1.4630412943661213,3.2474594206655376,0,49.99999999999219,1296.6199456149832,2
650,13.000000000000632,0.0816128172753488,0.2290030799380988,-68.16305320254418,0.02855146692286732,0.07056028934916969,3.92,0.9166666666666666,1.46194835588336,5.0,2,49.999999999992184,1295.1306737735013,2
700,14.000000000000789,0.03139079865199239,0.15760575268261845,5.390163610929796,0.10688521519185352,0.4139453354833318,3.92,0.9166666666666666,1.4821447007358075,5.0,1,49.999999999992184,1298.797223909868,3
750,15.000000000000945,-0.011147654839168932,0.16562542113780437,5.924883884558051,0.029622157797834416,0.09127738610342095,3.92,0.9166666666666666,1.4541542510688306,5.0,1,49.999999999992184,1325.59215754017,3
800,16.0000000000011,-0.22912441151952279,0.16570349720616395,-7.237486884750374,0.037143949966834545,0.09603592814871076,3.92,0.6666666666666666,1.4856349016726016,2.8706624703788846,0,49.999999999992184,1324.5290035852825,3
