step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,0.06879449614232587,0.15686276146034855,-6.771866996377542,0.0595207845342083,0.14949072033472666,2.94,0.9166666666666666,1.4087364355540157,5.0,1,49.99999999999996,339.6381887519263,0
100,1.9999999999999793,0.287091671155932,0.17703257880909665,-2.1880726993813515,0.06599942113542938,0.17275106100048143,2.94,0.9166666666666666,1.2313864033329427,2.127194599125058,0,50.00000000000051,535.0299032486753,0
150,2.9999999999999583,-0.11132810311362211,0.18272813275460698,-20.53054692211803,0.04180914382732695,0.10115918932717138,2.94,0.9166666666666666,1.2255145382157924,5.0,1,50.000000000000696,665.7980045174093,0
200,3.999999999999937,-0.16440902325233187,0.1633460468433518,-9.748926525776024,0.05136284341102343,0.11706455366271555,2.94,0.8333333333333334,1.2689711579138012,3.9188401957303585,0,50.00000000000079,758.3058712700577,1
250,4.999999999999916,0.10404199304112338,0.16476168739996047,2.9436955148592605,0.032302720662075034,0.06909471049462845,2.94,0.8333333333333334,1.2050549456477164,3.347037796668202,0,50.000000000001066,1291.8490463797377,1
300,5.999999999999894,-0.05291979130283821,0.15612066855613982,-6.164362440279883,0.07188602292113104,0.27268418804427336,2.94,0.75,1.2551084639132022,4.656115688800976,0,50.000000000001066,1307.2727125216977,1
350,6.999999999999873,0.004696522172486657,0.24055267535212926,-0.23641669473469232,0.02834002319218322,0.06290462852756629,2.94,0.8333333333333334,1.253643728941679,1.363269131500979,0,50.000000000001066,1304.9994974859117,2
400,7.999999999999852,-0.010385173971546063,0.1618606080945859,-0.015200335852285534,0.03342733553168905,0.11827032956949962,2.94,0.9166666666666666,1.257607666105032,2.2494959181073777,0,50.000000000001066,1307.4897520610184,2
450,9.000000000000007,0.3039083814854016,0.16560531142099083,-0.25464174293169145,0.032467493836908806,0.09295879563274168,2.94,1.0,1.236653282791376,2.0746582802072564,0,49.999999999998856,1309.3991918165834,2
500,10.000000000000163,-0.05262488667091034,0.1802658626498234,-27.76742118557111,0.035498075165459365,0.1038132556323973,2.94,0.9166666666666666,1.2237525455653668,4.572262899116035,0,49.99999999999663,1301.6686637406285,2
550,11.00000000000032,-0.21130901577786484,0.16534241441743155,-10.870069781927636,0.026053442429443668,0.08522686828829551,2.94,0.8333333333333334,1.2691287745535373,3.6903445138340847,0,49.999999999994415,1291.942935363475,3
600,12.000000000000476,0.08180360231622608,0.14301320735285467,-2.82643754412246,0.0169932630544473,0.039977008274724134,2.94,0.8333333333333334,1.198893760740757,4.120641810528746,0,49.99999999999219,1292.1125316351963,3
650,13.000000000000632,-0.12298057819794843,0.16282938223167193,-6.10954536444464,0.03191114020443279,0.07191686884189463,2.94,0.8333333333333334,1.2548165135085583,2.3282196237754214,0,49.999999999992184,1289.240317646784,3
700,14.000000000000789,-0.016303382883893828,0.2146472563114304,1.4689927641369258,0.04188051640948818,0.12661854519987162,2.94,0.8333333333333334,1.2547378180921078,2.883408275739346,0,49.999999999992184,1293.7956706147936,4
750,15.000000000000945,-0.016643197796440565,0.1633073446280861,6.957469882150271,0.036296451340246186,0.14146807168738362,2.94,0.9166666666666666,1.2566383264958858,3.654652718704411,0,49.999999999992184,1304.1716552355638,4
800,16.0000000000011,0.050927269930049326,0.16423554561606296,-10.123338466834605,0.02233782668208402,0.08934269285180174,2.94,0.6666666666666666,1.2404862223565578,2.474339140843166,0,49.999999999992184,1305.16292322597,4
