step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.150687229379344,0.14603541067452813,8.44231190416055,0.04244092047301542,0.14289300002918393,1.96,0.9166666666666666,1.4043305460429074,2.793563622257877,0,49.99999999999996,334.62131980785324,0
100,1.9999999999999793,0.1428944073773963,0.15014060248839994,-4.673894704129911,0.05235805837254522,0.13066093310868898,1.96,0.9166666666666666,1.284754946421379,4.929881286772692,0,50.00000000000051,528.8062441858956,0
150,2.9999999999999583,0.08821618387683518,0.15303175943412167,0.06039214065938956,0.049416763119495784,0.10190209692187768,1.96,0.8333333333333334,1.2856215009363454,2.240102244042774,0,50.000000000000696,654.7779850577857,0
200,3.999999999999937,0.008412955465359659,0.1521957185720046,1.0637497267537372,0.07584717351845226,0.2533083990773284,1.96,0.9166666666666666,1.283898461853859,2.9201229968936935,0,50.00000000000079,743.2306818253209,0
250,4.999999999999916,-0.23688609891106074,0.14674595864096224,-0.8023644220124159,0.06775487481299411,0.20599809263092161,1.96,0.8333333333333334,1.2574429631233215,2.253633290858207,0,50.000000000001066,1254.0102540695618,0
300,5.999999999999894,-0.1394676961478865,0.1581330240635376,0.9371113406193168,0.08025986115052178,0.23047718397978478,1.96,1.0,1.2727842721343041,4.756940726261588,0,50.000000000001066,1253.9872561224386,0
350,6.999999999999873,0.2197459634682254,0.14807540630505595,4.513625950090768,0.08788781764060742,0.22213784942661896,1.96,0.8333333333333334,1.2717144972085952,5.0,1,50.000000000001066,1245.7501542730647,1
400,7.999999999999852,-0.18002612839515025,0.1455504184262089,-7.567362718991636,0.07635730161882091,0.23832323328843583,1.96,0.75,1.295034605562687,4.397093198136186,0,50.000000000001066,1240.4342362567295,1
450,9.000000000000007,0.08073320130296172,0.15512861183978122,6.463767420997491,0.04283089165030298,0.11414771908982135,1.96,1.0,1.2743415641784668,2.805594481453227,0,49.999999999998856,1239.2845954753102,1
500,10.000000000000163,0.06519112723864717,0.15050598654538636,2.32554123206656,0.03205191552875332,0.07908083748740302,1.96,0.8333333333333334,1.2799018567800522,2.3578277199128306,0,49.99999999999663,1242.797375737836,1
550,11.00000000000032,0.19390579612984502,0.15704072646380568,-8.735527891146887,0.046132501720108465,0.07771133796933308,1.96,0.9166666666666666,1.2783952769637108,2.6616916200993628,0,49.999999999994415,1242.1982497914491,1
600,12.000000000000476,0.20046653329000097,0.1460869610249116,-0.0690499338726921,0.08753288061664659,0.3335372630424698,1.96,1.0,1.263095023930073,2.4015625737730604,0,49.99999999999219,1244.9898809995625,1
650,13.000000000000632,-0.023886296353319555,0.1533772018292198,-31.782430786032883,0.059775178803874236,0.2040078614889933,1.96,0.8333333333333334,1.271959312260151,3.352792274956759,0,49.999999999992184,1247.7670507681682,1
700,14.000000000000789,0.17371347773937024,0.16907258124047883,7.684368798390677,0.07418982774951385,0.17441788810189007,1.96,0.8333333333333334,1.2889022582769394,3.8309964561102303,0,49.999999999992184,1246.4093363584102,2
750,15.000000000000945,0.13689640861572075,0.16068134747852578,0.10770560119046839,0.07581811393214735,0.22718047300499866,1.96,1.0,1.2879401463270188,3.389657655836716,0,49.999999999992184,1255.4511532509196,2
800,16.0000000000011,0.1587511294936948,0.15304953130139873,-2.8593995144786284,0.06923142370157682,0.2826272969370479,1.96,0.8333333333333334,1.274344775080681,2.674561294378197,0,49.999999999992184,1258.8177347847068,2
