step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.01997742818324854,0.1952380809311707,1.8346477938757977,0.029822160813994063,0.0566101604527961,5.88,1.0,1.2212742797350764,3.981347573552551,0,49.99999999999996,345.09604959354465,1
100,1.9999999999999793,0.3746321234636708,0.16823164143447353,7.767282061557416,0.047386015032716104,0.11124755875699477,5.88,0.5833333333333334,1.2151060273158492,4.064653625743283,0,50.00000000000051,551.8836985876471,2
150,2.9999999999999583,0.3659051883886446,0.20231745548660246,17.976328973318818,0.026931865513676406,0.1221772596838174,5.88,0.9166666666666666,1.2070785940957032,5.0,2,50.000000000000696,691.119347609896,3
200,3.999999999999937,0.19250294939830837,0.20912740111695707,26.548822753878184,0.03379117347414146,0.05978160744449956,5.88,0.8333333333333334,1.1963585932010383,5.0,3,50.00000000000079,791.2825760132926,4
250,4.999999999999916,0.13806045401252087,0.1986450167043549,31.85724811095531,0.03056178745999751,0.09643054583829769,5.88,0.8333333333333334,1.189575023651123,5.0,3,50.000000000001066,1392.6939994062377,5
300,5.999999999999894,0.3980878253994192,0.1771442571476398,41.56003557500343,0.029681109479041238,0.06029887793398292,5.88,1.0,1.1942171612381935,5.0,2,50.000000000001066,1398.7676170728844,6
350,6.999999999999873,0.1894177828263311,0.18367966221354,47.9779051182779,0.04527110698453262,0.09375586919374068,5.88,0.6666666666666666,1.2090890765190125,5.0,2,50.000000000001066,1399.1868070407636,7
400,7.999999999999852,0.4711102084876376,0.1692188076501784,54.43052310233662,0.06117178728065312,0.12149720780976403,5.88,0.9166666666666666,1.2185512977838515,5.0,2,50.000000000001066,1399.4657691805344,8
450,9.000000000000007,0.13722964898148743,0.15853922714030796,76.77823040810739,0.05621102263571306,0.10757553627800669,5.88,0.8333333333333334,1.2290431609749795,5.0,2,49.999999999998856,1397.9270111069613,9
500,10.000000000000163,-0.01997742818324854,0.1952380809311707,1.8346477938757977,0.029822160813994063,0.0566101604527961,5.88,1.0,1.2274851495027541,3.981347573552551,0,49.99999999999663,1397.916028688017,11
550,11.00000000000032,0.3746321234636708,0.16823164143447353,7.767282061557416,0.047386015032716104,0.11124755875699477,5.88,0.5833333333333334,1.217091746032238,4.064653625743283,0,49.999999999994415,1383.452315017116,12
600,12.000000000000476,0.3659051883886446,0.20231745548660246,17.976328973318818,0.026931865513676406,0.1221772596838174,5.88,0.9166666666666666,1.2143358090519905,5.0,2,49.99999999999219,1382.2615401778296,13
650,13.000000000000632,0.19250294939830837,0.20912740111695707,26.548822753878184,0.03379117347414146,0.05978160744449956,5.88,0.8333333333333334,1.19635859310627,5.0,3,49.999999999992184,1360.8367697244967,14
700,14.000000000000789,0.13806045401252087,0.1986450167043549,31.85724811095531,0.03056178745999751,0.09643054583829769,5.88,0.8333333333333334,1.189575023651123,5.0,3,49.999999999992184,1360.568846984049,15
750,15.000000000000945,0.3980878253994192,0.1771442571476398,41.56003557500343,0.029681109479041238,0.06029887793398292,5.88,1.0,1.1942171612381935,5.0,2,49.999999999992184,1375.4131072514422,16
800,16.0000000000011,0.1894177828263311,0.18367966221354,47.9779051182779,0.04527110698453262,0.09375586919374068,5.88,0.6666666666666666,1.2090890765190125,5.0,2,49.999999999992184,1374.031628060748,17
