step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,0.17517231525088964,0.1744181982754453,3.8143114752777527,0.026892472202432374,0.05683597177623623,2.94,0.8333333333333334,0.7736136934421808,1.880179024708684,0,49.99999999999996,307.32208386018266,0
100,1.9999999999999793,0.17781706997734084,0.16908243174245402,0.1639904108609496,0.03152178669410779,0.0753058132908303,2.94,0.9166666666666666,0.8720590628813878,1.2708269087769508,0,50.00000000000051,491.79728119195397,0
150,2.9999999999999583,0.005001507870712752,0.16299860013684225,6.9756350064145165,0.035252908052402686,0.12736940299095312,2.94,0.8333333333333334,0.9034681070931206,2.6183039692111065,0,50.000000000000696,618.2465095398205,0
200,3.999999999999937,0.06632468515038228,0.16602375928645538,-3.938804136266807,0.040014973465445365,0.14177298246972153,2.94,0.8333333333333334,0.9292535417592116,1.3670837364400734,0,50.00000000000079,708.6545804628145,0
250,4.999999999999916,0.08646659421451669,0.16487324531256942,3.2484671939406615,0.02832356706775016,0.06629141772174296,2.94,0.8333333333333334,0.9646224215626716,2.2673196846925903,0,50.000000000001066,1254.4738692459664,0
300,5.999999999999894,-0.24630109230022676,0.17200005436812685,-2.9486604957360307,0.03271123095664822,0.07097193501689936,2.94,0.9166666666666666,0.9463504126667976,2.800670907210045,0,50.000000000001066,1243.9833191819077,0
350,6.999999999999873,0.15269211990360015,0.17044905223125034,3.643225085505589,0.047365378627605016,0.11551634085425366,2.94,0.8333333333333334,0.9364964337646962,1.8781078334352206,0,50.000000000001066,1234.2702896527683,0
400,7.999999999999852,-0.08723379951959989,0.16362003776350675,-13.74055326875257,0.04433755791538579,0.09066801044780115,2.94,1.0,0.9189615070819854,5.0,1,50.000000000001066,1236.8683544376959,0
450,9.000000000000007,0.1336549538441612,0.16292621177656208,0.975990224556502,0.021182263263905942,0.1074654176382197,2.94,0.8333333333333334,0.8987643188238144,3.685721487918473,0,49.999999999998856,1238.3418170178702,1
500,10.000000000000163,-0.16328406752710062,0.16617089019641715,2.940825992025855,0.019489041107574125,0.04026371491618552,2.94,0.8333333333333334,0.8915885756909847,1.0561628803508085,0,49.99999999999663,1253.7691592082422,1
550,11.00000000000032,-0.020542580165410204,0.16694551215156372,-2.1257694069432964,0.028594399915071362,0.04542679262321159,2.94,0.75,0.9052958191931247,1.290091048321641,0,49.999999999994415,1250.2273929514317,1
600,12.000000000000476,0.28337237035135204,0.17616466881060935,0.5827165164903544,0.016930471469717226,0.04542073608038877,2.94,0.8333333333333334,0.9136232650279998,1.7778285572865673,0,49.99999999999219,1246.7801043764716,1
