step,isaac_vx,isaac_vy,isaac_wz,mujoco_vx,mujoco_vy,mujoco_wz,isaac_base_x,isaac_base_y,isaac_base_z,mujoco_base_x,mujoco_base_y,mujoco_base_z,obs_l2_diff,action_l2_diff,isaac_dx,isaac_dy,mujoco_dx,mujoco_dy,pos_err_norm
0,-0.00016897752357181162,0.06615366041660309,0.00023792232968844473,0.0,0.0,0.0,-0.00010264468437526375,0.0034749822225421667,0.2389518916606903,0.00033358872379675593,0.00018777293693408967,0.24714018166326357,12.101679158327507,1.9228937578562693,-0.00010285273015142593,0.002501593204215169,0.00033358872379675593,0.00018777293693408967,0.00235462212934583
1,0.0006020672153681517,0.1399848312139511,0.1696280837059021,0.02672022157007372,0.014834099535756318,-0.0728541595766141,-0.0005690971738658845,0.006862673442810774,0.22691187262535095,0.0005671521238452275,0.0006977565418735021,0.24063122758992989,21.997158239273084,2.9753521413403283,-0.0005693052196420467,0.005889284424483776,0.0005671521238452275,0.0006977565418735021,0.005314461125032911
2,0.005253654904663563,0.13258540630340576,0.07738129049539566,0.005927073055984555,0.027470241225020373,-0.07009857477546183,-0.0009355550864711404,0.009496426209807396,0.21076126396656036,0.0008811063769098922,0.0012088890829459584,0.2302537464074373,23.108322554587264,2.982709531359167,-0.0009357631322473026,0.008523037191480398,0.0008811063769098922,0.0012088890829459584,0.007536430014727333
3,0.016095248982310295,0.047193463891744614,-0.15447504818439484,0.000544456669538001,0.00927240472504021,-0.03234950495914131,-0.0008462046971544623,0.011071578599512577,0.1909770965576172,0.0011210061277322125,0.001396363379203787,0.21610949681209654,15.375273994668136,3.6335259321453224,-0.0008464127429306245,0.01009818958118558,0.0011210061277322125,0.001396363379203787,0.008921463795932654
4,0.02246231772005558,-0.01615813560783863,-0.19923289120197296,-0.010143518227736806,-0.03132782367700643,0.15223107670198635,0.003807593369856477,0.012180319987237453,0.18390752375125885,0.0014180676205620003,0.0010291326801849484,0.19830979182663297,13.254626418046907,3.8090924057418025,0.0038073853240803146,0.011206930968910456,0.0014180676205620003,0.0010291326801849484,0.01045449267512919
5,0.25469616055488586,0.03574046120047569,-0.09485192596912384,-0.01888584759930949,-0.0679327391011279,0.24904879552590078,0.01081880833953619,0.014144626446068287,0.18318696320056915,0.0015086872086169836,0.0007406745176591812,0.17675436202390224,11.204692530101681,2.6425355478570234,0.010818600293760028,0.01317123742774129,0.0015086872086169836,0.0007406745176591812,0.015530401666229585
6,0.3565886616706848,0.11991245299577713,0.23151034116744995,-0.053552069108045726,-0.03307929427895355,0.6181367489625285,0.018180735409259796,0.01654760353267193,0.18019133806228638,0.006054918683402554,-0.002464391932553837,0.16764814878256107,16.458261193275717,2.427884465897716,0.018180527363483634,0.01557421451434493,0.006054918683402554,-0.002464391932553837,0.021735264166983466
7,0.34822654724121094,0.11919897794723511,0.12612619996070862,0.2744825924213789,-0.22771759475779163,0.18053936247643732,0.026450850069522858,0.0184054896235466,0.17554640769958496,0.012554422061906965,-0.006655022729374309,0.17025824188052685,14.870142068758017,2.488607861861094,0.026450642023746695,0.017432100605219603,0.012554422061906965,-0.006655022729374309,0.02780817217588692
8,0.47546881437301636,0.015465849079191685,-0.18130812048912048,0.310062850999486,-0.20617724426266093,0.18371694983282905,0.036174945533275604,0.017812443897128105,0.17617107927799225,0.019369553169303232,-0.00916986836349668,0.17357599011288427,14.686910860261069,2.474431873835079,0.03617473748749944,0.016839054878801107,0.019369553169303232,-0.00916986836349668,0.030965760255357626
9,0.5023360252380371,-0.10999168455600739,0.25509169697761536,0.33701934066460876,-0.11925183153357044,0.06701911066868503,0.044987358152866364,0.01603415608406067,0.178632915019989,0.025590405790307386,-0.011711831047588698,0.17508993538060477,11.656101773396518,2.0205764624724427,0.0449871501070902,0.015060767065733671,0.025590405790307386,-0.011711831047588698,0.033060636712382276
10,0.4219267666339874,-0.05459251627326012,-0.10114786028862,0.3003096243652348,-0.1441008483533169,-0.2420913107597022,0.05333714932203293,0.015086546540260315,0.17878422141075134,0.03142700393557796,-0.01509248326988601,0.1732968735545866,9.519382799508866,1.677224882145381,0.053336941276256766,0.014113157521933317,0.03142700393557796,-0.01509248326988601,0.036510475323299374
11,0.434523344039917,-0.046380236744880676,0.06705871969461441,0.2934534078034889,-0.17135688950039477,-0.13971413551961162,0.062177352607250214,0.013645383529365063,0.17507967352867126,0.03732044704595831,-0.018288950083538133,0.16770576469278464,10.005582651572555,1.4658464532010074,0.06217714456147405,0.012671994511038065,0.03732044704595831,-0.018288950083538133,0.039704351166670176
12,0.4326872229576111,-0.09695351123809814,-0.03290490806102753,0.3110594147733929,-0.15888176678217017,-0.17430004832792134,0.07184866815805435,0.01320506352931261,0.17001156508922577,0.04516603766644642,-0.020311473462889962,0.1655442129531865,11.703891401250049,1.1693689407684138,0.07184846011227819,0.012231674510985613,0.04516603766644642,-0.020311473462889962,0.04208334762857381
13,0.526726245880127,0.014484314247965813,-0.06974004954099655,0.40431879734897974,-0.10449112398008015,-0.0015421170973822394,0.0820576474070549,0.013362806290388107,0.16855424642562866,0.0540099393986953,-0.021875487509075947,0.16799122090901022,7.282913204589345,0.8624122986994129,0.08205743936127874,0.01238941727206111,0.0540099393986953,-0.021875487509075947,0.044280311130473184
14,0.4762123227119446,-0.03550291806459427,-0.10390108823776245,0.44156537901081055,-0.08873660005040782,0.1756521638052587,0.092106394469738,0.012996594421565533,0.17144657671451569,0.06311506778586641,-0.021692340496049834,0.17025565102290183,4.6274597774735975,1.9240599170037909,0.09210618642396184,0.012023205403238535,0.06311506778586641,-0.021692340496049834,0.04446597570249802
15,0.5004814267158508,-0.04131803289055824,-0.010541081428527832,0.44983121591429026,0.0059196494450291385,0.2771540877558526,0.10320983082056046,0.01322420034557581,0.1741752177476883,0.07237707575501257,-0.020911770267465553,0.16992803327216285,6.4873184771898496,0.8556784720991255,0.1032096227747843,0.012250811327248812,0.07237707575501257,-0.020911770267465553,0.04528137336424904
16,0.541753888130188,0.004693532362580299,-0.14643315970897675,0.4630061957836416,0.022041896545804265,0.01768503496881794,0.11384762078523636,0.01321481168270111,0.17362752556800842,0.08183163949388372,-0.020793390328564646,0.16610084219674157,6.744779121601438,1.4070894569615373,0.1138474127394602,0.012241422664374113,0.08183163949388372,-0.020793390328564646,0.046003354290645
17,0.5248684287071228,-0.0029494191985577345,0.06130179017782211,0.47660680633232183,-0.009524426257596717,0.0325317696121848,0.12489820271730423,0.013712414540350437,0.1696077585220337,0.09161110057590782,-0.02045032695033493,0.16236346386078618,7.833907766957032,1.1149960349810624,0.12489799467152807,0.01273902552202344,0.09161110057590782,-0.02045032695033493,0.047005855338111635
18,0.5453793406486511,0.0379791334271431,-0.12169765681028366,0.49418429821123233,0.02303281484442194,0.3464660168968438,0.1362023949623108,0.012405915185809135,0.16954003274440765,0.10013681726519959,-0.02038260513289434,0.1636024343072788,6.116919959403042,1.7022195828799611,0.13620218691653463,0.011432526167482138,0.10013681726519959,-0.02038260513289434,0.04809275899496341
19,0.5716960430145264,-0.14455190300941467,0.05149790272116661,0.4148207077912098,-0.009387538372446472,0.14607525882148442,0.146707683801651,0.010739894583821297,0.1728672981262207,0.10812703767538588,-0.020409566629637985,0.1672041807452383,6.900153083468329,1.1986538469552546,0.14670747575587484,0.009766505565494299,0.10812703767538588,-0.020409566629637985,0.048980052425536234
20,0.49845826625823975,-0.0426243394613266,0.06089827045798302,0.39627356625757354,-0.02718745037734774,-0.05651891350866748,0.15529081225395203,0.011044986546039581,0.17692334949970245,0.11552898111002464,-0.02009558563457678,0.16938600215151012,5.024109017019576,0.9281494525225084,0.15529060420817586,0.010071597527712584,0.11552898111002464,-0.02009558563457678,0.04991037578847256
21,0.41724735498428345,0.04672547057271004,0.059227701276540756,0.36562596527792296,-0.002981195166506366,-0.01787790692895655,0.16325506567955017,0.011789870448410511,0.17852458357810974,0.12261854342682235,-0.02045193053021684,0.16822922829479364,5.992314226935649,1.2677580450560366,0.163254857633774,0.010816481430083513,0.12261854342682235,-0.02045193053021684,0.05127400529357108
22,0.41313889622688293,0.020171033218503,-0.01640550047159195,0.35991507227234715,-0.03457888023716516,-0.18705137556738155,0.17163173854351044,0.012336308136582375,0.17615075409412384,0.12954256700672329,-0.020658758993257437,0.1642123932630212,5.720225529818522,1.5780149918174085,0.17163153049773427,0.011362919118255377,0.12954256700672329,-0.020658758993257437,0.052885430099650264
23,0.41445428133010864,0.0029164322186261415,0.03404925763607025,0.34316591562252163,-0.003182491511686531,0.009462369682923466,0.18151463568210602,0.014223534613847733,0.17322687804698944,0.13660189288663444,-0.020383835902092914,0.1642218915411031,8.693688579077053,1.6306412584966163,0.18151442763632986,0.013250145595520735,0.13660189288663444,-0.020383835902092914,0.05611043119620822
24,0.5240971446037292,0.11986643821001053,0.11032216995954514,0.3694640720950076,0.0031942643342586065,0.2504842479335856,0.19195348024368286,0.016730131581425667,0.17192742228507996,0.1445123451451552,-0.019844958167788418,0.16822346886251055,6.346074685053706,1.7639354852323192,0.1919532721979067,0.01575674256309867,0.1445123451451552,-0.019844958167788418,0.059313764461178274
25,0.5078164935112,0.0933837890625,0.1710887849330902,0.4001962552999538,0.013075127220899773,0.3064610406409693,0.20210164785385132,0.01848030649125576,0.17467555403709412,0.15355757264678385,-0.019229616236870258,0.1724439436846155,7.116094136036306,2.4202028825583053,0.20210143980807516,0.017506917472928762,0.15355757264678385,-0.019229616236870258,0.06087758165354711
26,0.5189343094825745,0.06694994121789932,0.08936267346143723,0.4783899433988041,0.014289782820341046,-0.04813668202269406,0.2122088372707367,0.019683098420500755,0.17448574304580688,0.16241332461256028,-0.01804723071071427,0.1741966536058162,7.674473267035286,0.7212166643514984,0.21220862922496053,0.018709709402173758,0.16241332461256028,-0.01804723071071427,0.06189220474263433
27,0.49953344464302063,0.04738827049732208,-0.004059331025928259,0.43888854819839224,0.04920430294928663,-0.19281956103188885,0.22248367965221405,0.020801741629838943,0.17068292200565338,0.17149045424653406,-0.01665233567891391,0.1715804453602573,7.640448415405474,0.9599234990237303,0.2224834716064379,0.019828352611511946,0.17149045424653406,-0.01665233567891391,0.0626987116104523
28,0.5034354329109192,0.05782056972384453,-0.15542498230934143,0.45622506019164233,0.05894804196885931,0.0936785364914335,0.23269744217395782,0.021594341844320297,0.168889120221138,0.18209135568046325,-0.016564159288726364,0.1701206325381241,5.911450506441031,0.7883842809182501,0.23269723412818166,0.0206209528259933,0.18209135568046325,-0.016564159288726364,0.0627987857880192
29,0.5310077667236328,-0.05822199210524559,-0.10519275814294815,0.5453667856396291,-0.03606158810966269,0.2226120031417528,0.2430378794670105,0.020597301423549652,0.17076487839221954,0.19286000619858779,-0.017503535644897122,0.17228955961062786,3.4703358787982306,0.6470797812607076,0.24303767142123434,0.019623912405222654,0.19286000619858779,-0.017503535644897122,0.06241991257531795
