step,isaac_vx,isaac_vy,isaac_wz,mujoco_vx,mujoco_vy,mujoco_wz,isaac_base_z,mujoco_base_z,obs_l2_diff,action_l2_diff
0,-0.00016897752357181162,0.06615366041660309,0.00023792232968844473,0.0,0.0,0.0,0.2389518916606903,0.24714018166326357,12.101679158327507,1.9228937578562693
1,0.0006020672153681517,0.1399848312139511,0.1696280837059021,0.02672022157007372,0.014834099535756318,-0.0728541595766141,0.22691187262535095,0.24063122758992989,21.997158239273084,2.9753521413403283
2,0.005253654904663563,0.13258540630340576,0.07738129049539566,0.005927073055984555,0.027470241225020373,-0.07009857477546183,0.21076126396656036,0.2302537464074373,23.108322554587264,2.982709531359167
3,0.016095248982310295,0.047193463891744614,-0.15447504818439484,0.000544456669538001,0.00927240472504021,-0.03234950495914131,0.1909770965576172,0.21610949681209654,15.375273994668136,3.6335259321453224
4,0.02246231772005558,-0.01615813560783863,-0.19923289120197296,-0.010143518227736806,-0.03132782367700643,0.15223107670198635,0.18390752375125885,0.19830979182663297,13.254626418046907,3.8090924057418025
5,0.25469616055488586,0.03574046120047569,-0.09485192596912384,-0.01888584759930949,-0.0679327391011279,0.24904879552590078,0.18318696320056915,0.17675436202390224,11.204692530101681,2.6425355478570234
6,0.3565886616706848,0.11991245299577713,0.23151034116744995,-0.053552069108045726,-0.03307929427895355,0.6181367489625285,0.18019133806228638,0.16766097611888245,16.458261193275717,2.427884465897716
7,0.34822654724121094,0.11919897794723511,0.12612619996070862,0.2767576010186409,-0.22828719936913994,0.1611073134620985,0.17554640769958496,0.17028348075540112,14.941531064383652,2.4943054785529304
8,0.47546881437301636,0.015465849079191685,-0.18130812048912048,0.3123921315544187,-0.21540713704367798,0.09745402552428677,0.17617107927799225,0.17364040502727981,14.79221261386697,2.5755676941228707
9,0.5023360252380371,-0.10999168455600739,0.25509169697761536,0.33954015281269384,-0.12929165908335785,0.026531421027236247,0.178632915019989,0.17491846878783868,12.064345996435435,1.9752562401026637
10,0.4219267666339874,-0.05459251627326012,-0.10114786028862,0.31309997220908886,-0.15091064415884606,-0.18825885867296244,0.17878422141075134,0.17262092864725537,9.382118566032627,1.6637416013953457
11,0.434523344039917,-0.046380236744880676,0.06705871969461441,0.31686490461638106,-0.1546347710604903,0.031005278941221195,0.17507967352867126,0.16711404685849426,10.07274230636336,1.5694270010324296
12,0.4326872229576111,-0.09695351123809814,-0.03290490806102753,0.32809281279656366,-0.1525923538773998,-0.05172967412916077,0.17001156508922577,0.16556771642017123,10.024624361256215,1.2928323577077467
13,0.526726245880127,0.014484314247965813,-0.06974004954099655,0.4187571644151029,-0.09269477263955515,-0.03293490266492566,0.16855424642562866,0.16792161385986826,7.159924607141048,0.9931045784280008
14,0.4762123227119446,-0.03550291806459427,-0.10390108823776245,0.41648272159379135,-0.10064520563869124,0.15751775623669875,0.17144657671451569,0.17009604763087052,4.937701011773896,2.200248293067747
