body_id,body_name,parent_id,mass,inertia_xx,inertia_yy,inertia_zz,ipos_x,ipos_y,ipos_z,iquat_w,iquat_x,iquat_y,iquat_z
0,world,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,base,0,0.75,0.001,0.001,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,FL_hip,1,0.0902304225580522,2.924260864180753e-05,2.2971381428768166e-05,1.4140036489623496e-05,-0.021196369989166415,0.019234721749433664,-2.183042030205057e-06,0.007373562404354328,0.7070365230530364,-0.00737289888096937,0.7071001527426204
3,FL_thigh,2,0.19473865631310355,0.00022108451696343365,0.00020569403555510755,3.480558341739219e-05,-0.01963092224047691,0.003222267456448241,-0.05212252281613764,0.707841931945099,0.04386327745378687,-0.038631682231462385,0.7039484394465341
4,FL_calf,3,0.03760173277845568,6.127636514521599e-05,6.0429529328051335e-05,1.4145250393699065e-06,-0.004500100392922743,0.03886550157755558,-0.03827506499143529,0.9202035221610356,0.3914402608348122,0.0,0.0
5,FR_hip,1,0.090230423015299,2.9242608855602073e-05,2.2971381572388064e-05,1.4140036564400394e-05,0.021196369946823536,0.019234721751118067,1.4083639564427264e-06,-0.007373563194531918,0.7070365255639814,0.007372899723616322,0.7071001502148753
6,FR_thigh,5,0.19475772705869202,0.00022113004044147335,0.00020573762121059373,3.480434688504271e-05,0.019630862275887923,0.003209692043491391,-0.052127755407854116,0.7039414675899412,0.03852395689557829,-0.04375311961231741,0.7078615538907441
7,FR_calf,6,0.037601726456899416,6.12763577200783e-05,6.042952158507691e-05,1.414525332002174e-06,0.004499893727159185,0.03886213713351072,-0.03827851728716382,0.9202164337093286,0.3914099067873553,0.0,0.0
8,RL_hip,1,0.09023043602372335,2.924261113962537e-05,2.2971385068224734e-05,1.4140036502230588e-05,-0.02119636682603592,-0.019233969892059583,1.408323516395582e-06,-0.007372696634777909,0.7071001521217399,0.007373360083014868,0.7070365278928907
9,RL_thigh,8,0.19473864973894062,0.00022108452578860992,0.0002056940433039984,3.480558026745173e-05,-0.01963092222190932,0.0032222679133699916,-0.05212252312991441,0.7078419162947843,0.043863295709840204,-0.03863166587035096,0.7039484549437421
10,RL_calf,9,0.037601731260341414,6.127636623629409e-05,6.042953023470592e-05,1.4145251878713258e-06,-0.0030001003677554705,0.03886523049411751,-0.03827498792010352,0.9202035231199635,0.3914402585805508,0.0,0.0
11,RR_hip,1,0.09023043555457705,2.9242610915084094e-05,2.2971384912007775e-05,1.4140036426326353e-05,0.021196366872507984,-0.019233969890052327,-2.183001176152277e-06,0.007372695715214039,0.7071001546459428,-0.0073733592158214956,0.707036525387093
12,RR_thigh,11,0.1947576946982814,0.0002211300138652545,0.0002057375956942504,3.4804339103317353e-05,0.019630862100268348,0.0032096921158484837,-0.052127755370996495,0.7039414819104055,0.03852396557225976,-0.04375311379572326,0.7078615395368995
13,RR_calf,12,0.037601727862502876,6.127635848850035e-05,6.0429522328058986e-05,1.4145253236869577e-06,0.004499893715601722,0.038862133523971595,-0.03827851223385896,0.9202164330457274,0.39140990834750183,0.0,0.0
