step,isaac_vx,isaac_vy,isaac_wz,mujoco_vx,mujoco_vy,mujoco_wz,isaac_base_x,isaac_base_y,isaac_base_z,mujoco_base_x,mujoco_base_y,mujoco_base_z,obs_l2_diff,action_l2_diff,isaac_dx,isaac_dy,mujoco_dx,mujoco_dy,pos_err_norm
0,-0.00016897752357181162,0.06615366041660309,0.00023792232968844473,0.0,0.0,0.0,0.00019794548279605806,0.0034803131129592657,0.23900100588798523,-5.8074425807977975e-05,9.744797654458572e-05,0.24804345035202,12.101679158327507,1.3433346269685398,0.00019773743701989588,0.002506924094632268,-5.8074425807977975e-05,9.744797654458572e-05,0.0024230177202815405
1,0.002995850285515189,0.13338302075862885,0.1385752111673355,-0.0026353017022112176,0.00359049512065128,0.021380384270776667,0.0002619253355078399,0.007347603794187307,0.22708189487457275,-0.00021421443680546968,0.000138540070782063,0.24215290553998542,21.629692580391424,2.0783621789764295,0.00026171728973167774,0.00637421477586031,-0.00021421443680546968,0.000138540070782063,0.006253810841069412
2,-0.006104098167270422,0.14941944181919098,0.012658347375690937,-0.009900981304434765,0.00729202932500868,0.1648700175996802,0.00037769420305266976,0.01050947979092598,0.2110869437456131,-0.000436240766098657,0.00016768818683586106,0.2321574466483297,23.64180322477405,2.5120335169386463,0.0003774861572765076,0.009536090772598982,-0.000436240766098657,0.00016768818683586106,0.00940367579804614
3,-0.01085800863802433,0.05319590121507645,-0.19505766034126282,-0.007990030631342768,0.01021492981942491,0.017127068224056616,0.0004135826020501554,0.012451892718672752,0.19211438298225403,-0.00041042969894331785,0.0004418770693886656,0.2183094011253246,14.89197191778098,2.2082803340313824,0.0004133745562739932,0.011478503700345755,-0.00041042969894331785,0.0004418770693886656,0.011067329435869584
4,-0.0154610276222229,0.07678548991680145,-0.09807093441486359,0.0017428028805611827,0.015359369286722345,0.09215922094311799,0.0023378110490739346,0.01492402609437704,0.18444927036762238,-0.0004002174414979691,0.0005203488798279514,0.2007107842302068,10.672934002360618,1.6567966249456458,0.0023376030032977724,0.013950637076050043,-0.0004002174414979691,0.0005203488798279514,0.013706505821015215
5,0.06710409373044968,0.08992541581392288,0.19438610970973969,-0.0012433153385210654,0.0031227356770753955,-0.09315252139259068,0.004163943696767092,0.016184639185667038,0.18277974426746368,-0.0002253352965756326,0.0006324396442928116,0.17904975412925145,10.11305061747906,1.1989224103025689,0.00416373565099093,0.01521125016734004,-0.0002253352965756326,0.0006324396442928116,0.015225165353771546
6,0.07464732229709625,0.017882511019706726,-0.3692021369934082,0.01972364214461609,0.002113893266198291,-0.6610990731810328,0.005504798609763384,0.01633584126830101,0.17850513756275177,-0.001998462302184604,-0.0020853755606491265,0.17174788984638237,10.019158770984657,2.4591645688806785,0.005504590563987222,0.015362452249974012,-0.001998462302184604,-0.0020853755606491265,0.018992695901891427
7,0.05787535756826401,0.015761714428663254,-0.0420672670006752,-0.10277301121406549,-0.16760432038649958,-0.07220336273533261,0.0070829931646585464,0.016348348930478096,0.17407219111919403,-0.001888770838024709,-0.0037077040079695873,0.17495227431496715,10.572515621861983,2.461917421597818,0.007082785118882384,0.015374959912151098,-0.001888770838024709,-0.0037077040079695873,0.02108641455004124
8,0.09095972776412964,-0.012907550670206547,-0.26357048749923706,0.023729696840128475,-0.056381544549625975,-0.11305764595895255,0.008527655154466629,0.01652471534907818,0.17591291666030884,-0.0013365279448599896,-0.005319359490545336,0.17799912202763513,5.313792119050491,2.2190429704144563,0.008527447108690467,0.01555132633075118,-0.0013365279448599896,-0.005319359490545336,0.0230842701965718
9,0.06016470864415169,-0.004227963741868734,-0.07048607617616653,0.019356379657991637,-0.09052510546469064,0.15997291352929016,0.008784741163253784,0.016774125397205353,0.17613869905471802,-0.0006853541976668655,-0.007514946157767962,0.1785945359450269,8.610215742043167,1.79202611564986,0.008784533117477622,0.015800736378878355,-0.0006853541976668655,-0.007514946157767962,0.02516544889151013
10,0.004375625401735306,0.04175432398915291,-0.10205453634262085,0.03356020529876133,-0.11215343985016733,0.2483303322534047,0.008495650254189968,0.017434963956475258,0.17369824647903442,-0.00014509269838579097,-0.009852012259392414,0.17540868030771123,10.386057284950768,2.6888194192747092,0.008495442208413806,0.01646157493814826,-0.00014509269838579097,-0.009852012259392414,0.027695915126209475
11,0.00845289509743452,0.03206929564476013,-0.10410722345113754,0.016364727281046293,-0.12066810032873058,0.35181304154636533,0.008405766449868679,0.018296273425221443,0.17012950778007507,0.0002538518153935994,-0.010998836908413285,0.17306959547990358,15.875574743011757,2.66681969014363,0.008405558404092517,0.017322884406894445,0.0002538518153935994,-0.010998836908413285,0.02947151537621019
12,-0.006936868652701378,0.008442487567663193,0.08441939204931259,0.013726611128944622,-0.06042651699923093,-0.016981936882268837,0.008674805983901024,0.018578816205263138,0.1714055836200714,-0.0005734774527458523,-0.011217826371819773,0.17478499892274962,9.138559697358756,2.3015460875722162,0.008674597938124862,0.01760542718693614,-0.0005734774527458523,-0.011217826371819773,0.030270560684393738
13,0.02937549538910389,0.0022949890699237585,0.28437748551368713,-0.04809582630011881,0.007029739707714414,0.01981671017972948,0.008645210415124893,0.017232706770300865,0.17323757708072662,-0.0017829671086485375,-0.01166505277007061,0.17563697585845287,9.392817135694543,1.5117351099996454,0.008645002369348731,0.016259317751973867,-0.0017829671086485375,-0.01166505277007061,0.029807935461659687
14,-0.02146092616021633,-0.1082356870174408,0.004424962680786848,-0.0649256551782025,-0.020035247553086742,0.20727499399231783,0.009238969534635544,0.015572410076856613,0.17362935841083527,-0.002683662545545682,-0.012623489416537542,0.17333769560961243,9.983323468297568,1.8699421766667206,0.009238761488859382,0.014599021058529615,-0.002683662545545682,-0.012623489416537542,0.029718836979621202
15,0.056000594049692154,-0.03770533576607704,0.24298131465911865,-0.03420778596602964,-0.05546946465906127,0.13255541614205363,0.010377936065196991,0.014336333610117435,0.17210780084133148,-0.0032380381360526925,-0.013119128251563607,0.16895112648524613,13.172037619904883,2.3346981957800526,0.010377728019420829,0.013362944591790438,-0.0032380381360526925,-0.013119128251563607,0.029777328121932768
16,0.049237146973609924,-0.05377137288451195,0.07942121475934982,-0.019101315298522742,-0.02095416206326403,-0.18157940377342,0.01143196877092123,0.013751089572906494,0.16770893335342407,-0.004421195953178091,-0.01478489058675393,0.16938571400333266,14.106595148587886,2.831488246097277,0.011431760725145068,0.012777700554579496,-0.004421195953178091,-0.01478489058675393,0.0317964253630672
17,0.05477237328886986,-0.05261688306927681,0.0171334370970726,-0.06945817885208487,-0.09225284277571687,0.015939269086227302,0.012058284133672714,0.012932204641401768,0.1682397574186325,-0.004396652668829956,-0.016179021277009674,0.17182366977214847,11.517430248797096,2.540470387993745,0.012058076087896552,0.01195881562307477,-0.004396652668829956,-0.016179021277009674,0.032595950114595464
18,0.005497801583260298,-0.038077905774116516,-0.00735052116215229,0.006153276262238915,-0.06306949631394555,0.01769639104308133,0.012200028635561466,0.012223685160279274,0.17020873725414276,-0.004537660562227335,-0.017670893787437126,0.17317972925728498,9.136526620807455,2.231409644167714,0.012199820589785304,0.011250296141952276,-0.004537660562227335,-0.017670893787437126,0.03341524356107244
19,0.008468653075397015,-0.02631351538002491,-0.2796780467033386,-0.01842098124369771,-0.07751245330203124,-0.06370472880657856,0.011565467342734337,0.012088896706700325,0.17253544926643372,-0.004856724791101804,-0.020000021671048883,0.17146275593418256,7.975830246329857,1.5571515904680229,0.011565259296958175,0.011115507688373327,-0.004856724791101804,-0.020000021671048883,0.03518320236569662
20,-0.05139809474349022,0.015677984803915024,0.13430657982826233,-0.011355218566005468,-0.1277343408869302,-0.05514439653864163,0.010460296645760536,0.012403019703924656,0.17189696431159973,-0.005341556657659129,-0.02217721799212053,0.16861536788463533,9.166051211512494,2.427437854664026,0.010460088599984374,0.011429630685597658,-0.005341556657659129,-0.02217721799212053,0.037136400887747
21,-0.05162037909030914,0.011881474405527115,0.03106299415230751,-0.02508773214425206,-0.10655817746781217,0.057884832086651565,0.009677478112280369,0.012723419815301895,0.16773134469985962,-0.006297772367081964,-0.023719666012498402,0.16970363117078152,11.687294764143074,2.6298040464504675,0.009677270066504207,0.011750030796974897,-0.006297772367081964,-0.023719666012498402,0.03890117443613803
22,-0.05519384518265724,0.010472696274518967,-0.30491214990615845,-0.047852772572504476,-0.07679786763780164,-0.1002220732764561,0.009291997179389,0.012710118666291237,0.16908779740333557,-0.008390241815934302,-0.02434827446903838,0.17108570717061394,9.443698057153332,2.268781144714028,0.009291789133612838,0.011736729647964239,-0.008390241815934302,-0.02434827446903838,0.04018434696028839
23,-0.021570665761828423,0.006687624379992485,-0.04510926827788353,-0.11363150600739595,-0.013336552862611945,0.013349253955955293,0.00901839230209589,0.012594872154295444,0.17264972627162933,-0.010864548578854494,-0.02493119197256058,0.17051319954433922,8.342710604730451,2.063087243912572,0.009018184256319728,0.011621483135968447,-0.010864548578854494,-0.02493119197256058,0.041610348743847274
24,-0.00985322892665863,-0.008974215015769005,0.10802753269672394,-0.1332023212965698,-0.028288128279550944,-0.05385519138640901,0.009554347023367882,0.012604237534105778,0.17429271340370178,-0.013049283215596992,-0.02574911304970965,0.16684031522202236,10.261875481549694,1.8900911837688035,0.00955413897759172,0.01163084851577878,-0.013049283215596992,-0.02574911304970965,0.04368267644594283
25,0.03465569391846657,0.02344544604420662,0.18619462847709656,-0.1241963463325556,-0.047410007577177324,-0.029057818454541785,0.010022099129855633,0.013193005695939064,0.17357194423675537,-0.014909841207141231,-0.02685033354458901,0.16721369852838044,12.572267571790928,2.179060570944904,0.01002189108407947,0.012219616677612066,-0.014909841207141231,-0.02685033354458901,0.046347084972049396
26,0.018685881048440933,0.03813771530985832,-0.03598208352923393,-0.089484241454219,-0.06192218561136777,0.01762775646484572,0.010579789988696575,0.014076890423893929,0.16943173110485077,-0.01623096986985081,-0.02702845809880938,0.1699026496783618,10.418657450751478,2.544255709569262,0.010579581942920413,0.01310350140556693,-0.01623096986985081,-0.02702845809880938,0.04826364949075226
27,0.03981456905603409,0.06626826524734497,-0.06497668474912643,-0.05991764300904299,-0.009863739646850824,0.14363070731847974,0.011490583419799805,0.013812307268381119,0.16954821348190308,-0.016368829378467516,-0.026284870456567414,0.17294143747554824,12.266715186970538,1.9468777481463142,0.011490375374023643,0.012838918250054121,-0.016368829378467516,-0.026284870456567414,0.04802922164892528
28,0.06860291957855225,-0.04695240408182144,-0.005999737419188023,0.008267253164636175,0.038103677094656646,-0.0247619457925225,0.012590017169713974,0.012692602351307869,0.1725531816482544,-0.016398663775098833,-0.02585745796368601,0.17391406703370976,7.872690010251601,2.3178224088627912,0.012589809123937812,0.011719213332980871,-0.016398663775098833,-0.02585745796368601,0.04745880094098386
29,0.05918354168534279,-0.0608212873339653,-0.1817975491285324,-0.0034645953114066635,0.01115247390414676,0.24223778266026905,0.012349621392786503,0.012456564232707024,0.17566269636154175,-0.016226489740985853,-0.025395352710330336,0.17166405801878704,8.932060755630596,2.404776952066078,0.01234941334701034,0.011483175214380026,-0.016226489740985853,-0.025395352710330336,0.046654132284163125
30,-0.016841178759932518,0.01710493303835392,0.052011869847774506,0.007073376884850148,0.03098114174886826,0.13441127907323655,0.011830953881144524,0.012678712606430054,0.17569246888160706,-0.015767437266881606,-0.024146554254010983,0.1682991737939602,11.533968234952296,2.5574324775943276,0.011830745835368361,0.011705323588103056,-0.015767437266881606,-0.024146554254010983,0.0452439703756333
31,-0.012840451672673225,0.008613129146397114,0.03685736283659935,0.025852249530808027,0.0812584418174252,0.31806653524401857,0.011465567164123058,0.013012072071433067,0.17230185866355896,-0.01610123399881704,-0.024156621136068597,0.16981576801489634,11.577744737216474,2.6055105817149116,0.011465359118346896,0.01203868305310607,-0.01610123399881704,-0.024156621136068597,0.04549744060311695
