step,isaac_vx,isaac_vy,isaac_wz,mujoco_vx,mujoco_vy,mujoco_wz,isaac_base_z,mujoco_base_z,obs_l2_diff,action_l2_diff
0,-0.00016897752357181162,0.06615366041660309,0.00023792232968844473,0.0,0.0,0.0,0.23900100588798523,0.24805016082687015,12.101679158327507,1.3433346269685398
1,0.002995850285515189,0.13338302075862885,0.1385752111673355,-0.0017746910851380155,0.003893977288114082,0.012406081436916957,0.22708189487457275,0.24219147684603806,21.58053138067365,2.102369365495918
2,-0.006104098167270422,0.14941944181919098,0.012658347375690937,-0.013109093465030561,0.0043461402991594525,0.16195977332866243,0.2110869437456131,0.2320337906033506,24.296097382892214,2.620433666599582
3,-0.01085800863802433,0.05319590121507645,-0.19505766034126282,-0.0017758111392920104,0.015259693150776278,0.022106317205133712,0.19211438298225403,0.21802599500380476,14.577879421654089,2.1787085949978358
4,-0.0154610276222229,0.07678548991680145,-0.09807093441486359,0.0037120387572817204,0.025739244208324137,0.018753307818724994,0.18444927036762238,0.20035476424137694,10.24687391653272,1.8343678489679784
5,0.06710409373044968,0.08992541581392288,0.19438610970973969,-0.0010353878118854558,0.012311890885775084,-0.16372085321581742,0.18277974426746368,0.17891827068193347,9.008852987022179,1.2529862127995066
6,0.07464732229709625,0.017882511019706726,-0.3692021369934082,0.007155252374314722,0.0006578670393019943,-0.5079238846634299,0.17850513756275177,0.17147780018956155,13.087426228617504,2.205740714769913
7,0.05787535756826401,0.015761714428663254,-0.0420672670006752,-0.03362706172396912,-0.08807425780304326,-0.13869578327558402,0.17407219111919403,0.17446790002671098,11.24009558101096,2.346538013694892
8,0.09095972776412964,-0.012907550670206547,-0.26357048749923706,0.09148589447128078,-0.013390750451454048,-0.07169716670511891,0.17591291666030884,0.17700621164762118,5.928835733265602,2.1936824210606294
9,0.06016470864415169,-0.004227963741868734,-0.07048607617616653,0.04163797556286419,-0.07494552454688819,0.1341063698500379,0.17613869905471802,0.17646276450919907,9.69974857430683,1.9821782584150724
10,0.004375625401735306,0.04175432398915291,-0.10205453634262085,0.03229315976793658,-0.12013768685848072,0.24567418170160582,0.17369824647903442,0.17315844726502932,12.620628989628022,2.625035043645458
11,0.00845289509743452,0.03206929564476013,-0.10410722345113754,0.023434862514868475,-0.08171078912823772,0.06420477666711198,0.17012950778007507,0.17272184664375087,14.647637957669573,2.5256828653158814
12,-0.006936868652701378,0.008442487567663193,0.08441939204931259,-0.00034057042528843354,-0.07629884439821266,-0.06335144749157268,0.1714055836200714,0.17508001938378323,9.130384417639284,2.23821645756612
13,0.02937549538910389,0.0022949890699237585,0.28437748551368713,-0.06260337723440922,-0.05238499105385961,0.19344577020247142,0.17323757708072662,0.17567030097885644,9.792580212683696,1.5387080355762055
14,-0.02146092616021633,-0.1082356870174408,0.004424962680786848,-0.07237607788838306,-0.02847214254570027,-0.13245420790009887,0.17362935841083527,0.17300124847056855,11.070588651358777,1.8273044210864422
15,0.056000594049692154,-0.03770533576607704,0.24298131465911865,-0.06569025748036933,-0.017563464399527152,-0.15332476264234088,0.17210780084133148,0.16758335767412644,9.720834361596092,2.546051174604012
