profile,cmd,score_total,score_macro_forward_lateral,score_micro_jointvel_action,forward_disp_err,lateral_disp_err,joint_vel_rel_rmse,action_total_rmse
base,cmd050,4.572528555260713,0.5850637290308509,3.987464826229862,0.5017437919656791,0.08331993706517177,3.316800641195294,0.6706641850345681
base,cmd000,3.4819818471150876,0.2714225541531208,3.2105592929619666,0.0417246630550521,0.22969789109806865,2.651649886495183,0.5589094064667839
damp005,cmd050,4.768346982019738,1.0070474788503792,3.761299503169359,0.554991719326904,0.45205575952347504,3.1134035144335592,0.6478959887357997
damp005,cmd000,3.116465565026456,0.10562519229590848,3.0108403727305477,0.03064451337780566,0.07498067891810282,2.4703600166485162,0.5404803560820316
solver_hi,cmd050,4.604655982699859,0.6135178481908685,3.991138134508991,0.48408124664621965,0.1294366015446488,3.31664518404098,0.674492950468011
solver_hi,cmd000,3.795411215742339,0.5050481467349162,3.290363069007423,0.06269768932127451,0.44235045741364165,2.724585999840946,0.5657770691664773
damp005_solver_hi,cmd050,4.372475535948199,0.6553822207275378,3.7170933152206613,0.5980607157821893,0.05732150494534849,3.070830222885654,0.6462630923350073
damp005_solver_hi,cmd000,3.4009967051347414,0.21424508154063748,3.186751623594104,0.019517163016449915,0.19472791852418758,2.618088214222451,0.5686634093716528
solver_hi_fric12,cmd050,4.743737522784587,0.762453592531408,3.981283930253179,0.527990486308922,0.23446310622248606,3.3017682211475843,0.6795157091055948
solver_hi_fric12,cmd000,3.543067324294823,0.25545447569748,3.2876128485973433,0.08757976551958883,0.16787471017789116,2.6968725460663174,0.5907403025310258
postxml,cmd050,4.372475535948199,0.6553822207275378,3.7170933152206613,0.5980607157821893,0.05732150494534849,3.070830222885654,0.6462630923350073
postxml,cmd000,3.4009967051347414,0.21424508154063748,3.186751623594104,0.019517163016449915,0.19472791852418758,2.618088214222451,0.5686634093716528
