step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.0409987988205023,0.16352126205658052,-0.47200870480718005,0.029236589057342655,0.061843353517726074,1.96,0.9166666666666666,0.7884878078363687,1.7016543970350517,0,49.99999999999996,311.66355146769075,0
100,1.9999999999999793,0.0759242166492798,0.16835710477289914,5.310868459780899,0.03340892674697558,0.0744435608101579,1.96,0.9166666666666666,0.8466997634004727,2.9006487358705724,0,50.00000000000051,491.25290311078896,0
150,2.9999999999999583,0.10621230770311194,0.16517574344187533,0.4834540122339789,0.04124194079089894,0.11361263331283447,1.96,1.0,0.8670685077793846,2.323960452455608,0,50.000000000000696,611.2979848404254,0
200,3.999999999999937,0.09111905994233618,0.1670017501868859,-0.6586018962483259,0.03949745023531349,0.12773640584958534,1.96,0.8333333333333334,0.8749182768976279,1.4665642721230938,0,50.00000000000079,696.5987947086467,0
250,4.999999999999916,-0.03921868177995524,0.16924796526993988,7.52149457518035,0.04039928311660617,0.1606496261726642,1.96,0.75,0.9123876738548279,3.0414642585136664,0,50.000000000001066,1159.5712558467874,0
300,5.999999999999894,0.12231222315165276,0.16486995799034762,0.7700849510481927,0.0394223551053836,0.12607043641191695,1.96,0.9166666666666666,0.9185011534392834,1.099754960877601,0,50.000000000001066,1153.0492744748312,0
350,6.999999999999873,-0.20790026643364115,0.16586762348866813,-4.501814712964945,0.0416625909481709,0.11324894417746201,1.96,0.8333333333333334,0.9363818153738975,3.3402282826054113,0,50.000000000001066,1154.3552534674893,0
400,7.999999999999852,0.05604801066841098,0.16564592621800495,3.4448159004434866,0.04368056838975335,0.14793954022539102,1.96,0.9166666666666666,0.9418388898670673,2.237451024425096,0,50.000000000001066,1151.100058436964,0
450,9.000000000000007,-0.0778405261134696,0.1628940057437838,4.278155894092673,0.03364322608280048,0.09961149598877128,1.96,1.0,0.9438137601315976,1.565923590788019,0,49.999999999998856,1176.155330329512,0
500,10.000000000000163,-0.14527485995651665,0.164758643956474,-2.104898004094501,0.058706601759182776,0.12045307954681567,1.96,0.75,0.9448394601792097,3.5316132635765345,0,49.99999999999663,1189.9044416690185,0
550,11.00000000000032,0.05236198449312511,0.16617704460345842,5.157597354018288,0.026296938399159937,0.12246110400160637,1.96,0.75,0.9181878786534071,1.7442120494056048,0,49.999999999994415,1177.2302341267964,0
600,12.000000000000476,-0.11502631002831908,0.16110543675196373,-3.3370847278498608,0.053551974402563284,0.1304692309975315,1.96,1.0,0.9284896624833345,2.368336415560659,0,49.99999999999219,1176.1532553053312,0
650,13.000000000000632,0.1870123939225042,0.16543328819822972,-0.1773377220542801,0.04531879509227955,0.10911657620888954,1.96,0.9166666666666666,0.9262109383195639,3.098642519640276,0,49.999999999992184,1173.4046958971228,0
700,14.000000000000789,-0.08856223338909218,0.16383636100959875,6.055182515589655,0.03274523402402793,0.07735360853323447,1.96,0.9166666666666666,0.9295728601515293,3.5358042286223386,0,49.999999999992184,1173.346360135992,0
750,15.000000000000945,0.09295711736044521,0.16271143699679183,-2.2066246396377363,0.04385594030861354,0.19799131483281007,1.96,0.9166666666666666,0.946801901012659,1.2443641049199297,0,49.999999999992184,1185.280639531635,0
800,16.0000000000011,-0.12804201942194912,0.15976372245770784,-3.6465840218331853,0.052308198067825974,0.10321474374038331,1.96,0.8333333333333334,0.9343368422985077,3.2054113606975405,0,49.999999999992184,1188.0892623086638,0
850,17.000000000000902,0.24363587651463825,0.16612170211400837,3.8797842640140576,0.020624892194642478,0.03850897826768973,1.96,0.8333333333333334,0.9221190336346626,2.8462694450145842,0,49.999999999996625,1191.0615120973187,0
900,18.000000000000703,0.17241089667582699,0.16388555684069228,-3.4535093389990297,0.02916860114055467,0.10292468989159498,1.96,1.0,0.9216134929656983,0.9972068890517685,0,50.000000000001066,1189.2231315438632,0
950,19.000000000000504,0.1496758820820866,0.161641151009611,-1.1038600229123559,0.03593315920449328,0.11289245760053712,1.96,1.0,0.9043267843127251,1.184851991324613,0,50.00000000000551,1188.725042828678,0
1000,20.000000000000306,-0.03440355475214268,0.1657187595162414,3.1999348554475433,0.026687859038936963,0.06136048721454734,1.96,0.9166666666666666,0.8954655848443508,1.76145729968834,0,50.00000000000995,1187.5418242687824,0
1050,21.000000000000107,0.1556003353044417,0.16893338333119126,-3.016740139248569,0.03752129728759368,0.11773247257264685,1.96,0.8333333333333334,0.9062211894989014,1.6864580365107011,0,50.00000000000995,1173.3347131526803,0
1100,21.999999999999908,-0.0934787591751014,0.16630041455935285,-3.035355689942579,0.04836633138603728,0.15326002122947768,1.96,0.8333333333333334,0.9091765868663788,1.920865126900695,0,50.00000000000995,1173.224620756445,0
1150,22.99999999999971,0.06650989811495162,0.16523892124794082,5.026021211408416,0.0340843867077126,0.1143040594089878,1.96,0.9166666666666666,0.9198011372983456,1.7349808368909327,0,50.00000000000995,1168.8119821635987,0
1200,23.99999999999951,0.191985781895319,0.16826479386907583,-0.08376524811290445,0.04408682912994331,0.13297466466613705,1.96,0.75,0.9255415597558021,1.5827245256038536,0,50.00000000000995,1168.3900983589183,0
1250,24.99999999999931,-0.2373232310952208,0.16522664811386517,3.1304932140567225,0.020706575246375133,0.04175733899182843,1.96,0.8333333333333334,0.9201591923832894,1.8932549055477366,0,50.00000000000995,1184.2062693371913,0
1300,25.999999999999112,-0.10841154676351575,0.15912074325040598,-4.362661810896261,0.04698141630005769,0.10725489326701154,1.96,0.6666666666666666,0.9131490905582905,2.8320544527364304,0,50.00000000000995,1191.0448792493648,0
1350,26.999999999998913,-0.22360596193383764,0.16211528674485245,2.142400275985457,0.03365845313579042,0.11545416442306067,1.96,0.5833333333333334,0.9134814110398293,2.010000565045786,0,50.00000000000995,1188.6241162576835,0
1400,27.999999999998714,0.005565250126959453,0.16508341202829138,5.934214000347124,0.031034721059294224,0.05118456309788011,1.96,0.9166666666666666,0.9283230343461036,1.7942763064812588,0,50.00000000000995,1189.216767808604,0
1450,28.999999999998515,0.03764158870342339,0.17140009169508333,-1.3709273819483407,0.03377455665878624,0.08959971524280697,1.96,0.75,0.9281366069614887,1.616424965280184,0,50.00000000000995,1185.9837828474826,0
1500,29.999999999998316,-0.23595764131941735,0.16390266090784214,5.058188902571434,0.029918666253573655,0.07361895168395127,1.96,0.8333333333333334,0.9292058716714382,2.259449040081683,0,50.00000000000995,1176.497737511026,0
1550,30.999999999998117,-0.0857839603070316,0.16047628187949825,3.145754969867932,0.038335134838909775,0.15546126706740815,1.96,0.9166666666666666,0.9353479762375355,1.2864083484511701,0,50.00000000000995,1169.7993806805455,0
1600,31.999999999997918,-0.032307510139562,0.16289878544878908,-6.633086334512041,0.03825201076520759,0.09578227418525342,1.96,1.0,0.9136981272697449,2.7920803644617296,0,50.00000000000995,1165.4702151963284,0
1650,32.99999999999843,0.037477172646187766,0.16888394844648685,-1.793744121615336,0.03778970232027599,0.08929480192796946,1.96,0.75,0.9163220861554146,2.2036077170323543,0,50.000000000001066,1165.2825391570184,0
1700,33.99999999999894,-0.15337743411161822,0.1619775230871705,-0.9112777061023516,0.04151217523566936,0.12151856713348874,1.96,0.9166666666666666,0.9119414827227592,2.0766937090446005,0,49.999999999992184,1160.0689400053097,0
1750,34.99999999999945,-0.1306249331427396,0.16138938709759917,1.9959413040742489,0.03557018342597635,0.12152916436993488,1.96,1.0,0.9159666751325131,2.0338327071198212,0,49.9999999999833,1174.0775419321042,0
1800,35.999999999999964,0.1819433362420413,0.17046926509979196,-5.586165913874411,0.04645572523060667,0.11969373588148613,1.96,0.9166666666666666,0.9415021306276321,1.2649650355266935,0,49.99999999997442,1178.9653619922863,0
1850,37.000000000000476,-0.13346174126840427,0.16293131195958535,3.1091441728152454,0.0501940616199627,0.14082635974794244,1.96,0.9166666666666666,0.9361211319267749,2.0186320117039083,0,49.99999999997442,1185.002325993457,0
1900,38.00000000000099,0.14155687473471862,0.1616685397394635,2.516080454100051,0.04905697222495852,0.16722135594060417,1.96,0.75,0.9458425579965115,1.3684799549945423,0,49.99999999997442,1193.9868526688006,0
1950,39.0000000000015,-0.0398760282865906,0.16106584968722654,-2.346794222894663,0.04966056498227475,0.10390863978346199,1.96,0.8333333333333334,0.944178176522255,1.656272420004775,0,49.99999999997442,1186.9387878497691,0
2000,40.00000000000201,0.18511842833776912,0.16685842817893995,-6.494481516438164,0.048836650434214,0.18974297630579862,1.96,0.8333333333333334,0.9289716944098473,1.3459687341205195,0,49.99999999997442,1187.362417561108,0
2050,41.00000000000252,0.034178449627381625,0.1643680627833549,-2.5133126423161545,0.05116288341224076,0.15640514297141261,1.96,0.9166666666666666,0.9330226682126522,0.9343127645385296,0,49.99999999997442,1176.167925569358,0
2100,42.000000000003034,0.05640733402723249,0.1633481469751437,4.673064387480078,0.051560905567948075,0.15016595063093596,1.96,1.0,0.9220395293831826,2.212082459645975,0,49.99999999997442,1162.2952762975247,0
2150,43.000000000003546,0.1524337385050286,0.17002187972687696,-0.7067203039758051,0.05289093725126492,0.16864083239238392,1.96,0.9166666666666666,0.911640383452177,0.9746587856717056,0,49.99999999997442,1167.565490627496,0
2200,44.00000000000406,0.09965004612475462,0.16276814834020864,-1.2975338634914892,0.037248984476819784,0.1097064364302846,1.96,0.75,0.9112931138277054,1.7899608331721222,0,49.99999999997442,1167.246402770327,0
2250,45.00000000000457,-0.027584186046396033,0.16940609959400174,0.5751764612947486,0.0290222321309526,0.05664093835904967,1.96,0.8333333333333334,0.9033891446888447,2.09617808079906,0,49.99999999997442,1171.7124295779824,0
2300,46.00000000000508,-0.15302135318304977,0.16621510542041212,1.3163885323323232,0.06931958709181414,0.16133935701446156,1.96,0.9166666666666666,0.9029545855522155,3.016458340069711,0,49.99999999997442,1189.1142581230356,0
2350,47.00000000000559,0.233217237390999,0.16613385261465505,4.472730109001474,0.019984718010726665,0.09283865780958545,1.96,0.8333333333333334,0.9054212260246277,1.859808265361468,0,49.99999999997442,1188.5913887407794,0
2400,48.000000000006104,-0.08270887279329743,0.16341632303015077,-5.160659626165188,0.02727096869885005,0.08354942329878784,1.96,0.8333333333333334,0.9202597244083881,1.6123216216044036,0,49.99999999997442,1185.1674307073745,0
2450,49.000000000006615,-0.14116708665053895,0.165303844185028,-0.6571712272622456,0.04663181908861408,0.11162967914411703,1.96,0.8333333333333334,0.9452843847870827,3.4429868509921837,0,49.99999999997442,1185.5000049419787,0
2500,50.00000000000713,-0.07662879567835194,0.16319325991734365,5.48416251526503,0.02196999604160382,0.05123086327330462,1.96,0.9166666666666666,0.94503442466259,2.251877506269748,0,49.99999999997442,1182.7449596368342,0
2550,51.00000000000764,0.08994355751232676,0.16690439471084706,-3.426217548266468,0.04430301093040051,0.16909967543651672,1.96,0.9166666666666666,0.9425179097056389,1.43947860964444,0,49.99999999997442,1172.9505636506478,0
2600,52.00000000000815,0.11078844137493703,0.17232428039814915,0.4164121681280707,0.030315161693728016,0.10864862454545887,1.96,0.8333333333333334,0.9288582336902619,1.8433567279122511,0,49.99999999997442,1176.2781836815518,0
2650,53.00000000000866,0.07009145373057067,0.1651689513677316,-3.265514628359099,0.030497093489059757,0.07281960824254047,1.96,0.8333333333333334,0.9013850066065788,1.5764304896486319,0,49.99999999997442,1179.2561574761971,0
2700,54.00000000000917,-0.1395123606670573,0.16266769113819907,4.164167350761745,0.018034542014248433,0.06335353399601852,1.96,0.9166666666666666,0.8964277568459511,1.6392257730281723,0,49.99999999997442,1177.843010940904,0
2750,55.000000000009685,-0.014027733908334174,0.16501044010447716,-1.780453454281651,0.03161646524188512,0.06196730490811274,1.96,0.8333333333333334,0.8918863692879677,1.1720150339571558,0,49.99999999997442,1187.0137490527948,0
2800,56.000000000010196,-0.06230607497744556,0.1631888264396499,3.4673696869384747,0.02329409405089616,0.058104487091572954,1.96,0.8333333333333334,0.8895142160356044,2.1100164704820337,0,49.99999999997442,1187.9777602259219,0
