step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.12633093873821957,0.163644772887084,1.9105616239173644,0.02145684241537424,0.07513223308804917,3.92,0.9166666666666666,0.7518655994579098,1.438164843601487,0,49.99999999999996,312.12551962377415,0
100,1.9999999999999793,-0.09811981245531791,0.16344749022602253,2.251704426148881,0.029943768763333312,0.06808236502097727,3.92,1.0,0.76461160376891,2.6212413848803866,0,50.00000000000051,503.8106525166047,0
150,2.9999999999999583,-0.23851790887785665,0.16822752789853065,3.308199987299756,0.01968367417235751,0.049049172312822936,3.92,0.8333333333333334,0.7705505129709806,1.959410950490762,0,50.000000000000696,631.7862611671062,0
200,3.999999999999937,0.24255721342328498,0.17142935294324527,4.949861853970435,0.03400758988718051,0.0867927307882097,3.92,0.9166666666666666,0.7718347341578429,1.5197095063709307,0,50.00000000000079,726.2817224854424,0
250,4.999999999999916,-0.1897512019209653,0.1597906252404397,-2.0517742105052,0.029508552033796553,0.09208127909115979,3.92,0.75,0.7891542510688305,1.7811245635072654,0,50.000000000001066,1301.0557619297135,0
300,5.999999999999894,-0.08877016792300091,0.16621057432661795,-5.643428525971973,0.01921843931518207,0.05389277050660546,3.92,0.5,0.7803250016272067,2.6788667637576675,0,50.000000000001066,1302.9007085743328,0
350,6.999999999999873,-0.00017196528784006043,0.1694998929533553,1.3293109121470361,0.024233756349940683,0.044994039934346086,3.92,0.6666666666666666,0.7829532286524773,1.6476938459763009,0,50.000000000001066,1309.1578999131928,0
400,7.999999999999852,-0.15568317261670667,0.16648898106295598,-6.513736865183208,0.023434196780903162,0.06432731719083594,3.92,0.9166666666666666,0.7841554871201515,3.1807333744004413,0,50.000000000001066,1308.3382807186888,0
450,9.000000000000007,-0.0728265093414072,0.17230674328060805,5.082244210208515,0.013290776879587985,0.03282223516908167,3.92,0.9166666666666666,0.7689820592105389,3.2092101994592723,0,49.999999999998856,1307.9476562975472,0
500,10.000000000000163,-0.14281912573406985,0.16917235827130137,4.297250993441751,0.027320466065968354,0.05583788306273363,3.92,0.9166666666666666,0.7792024360597134,2.5285415654584433,0,49.99999999999663,1301.3299850893072,0
550,11.00000000000032,0.00874955344108241,0.16336837483104247,2.9689701003517333,0.01940261497629553,0.04016955052094984,3.92,1.0,0.7622272256016731,1.8973779222789497,0,49.999999999994415,1288.2315313929982,0
